Date,Price,Open,High,Low,Vol.,Change %
2015-08-17,627.19,620.95,627.38,618.4,,0.97%
2015-08-14,621.18,620.38,621.98,619.06,,0.12%
2015-08-13,620.45,616.9,624.56,616.8,,0.58%
2015-08-12,616.9,617.54,618.19,607.27,,-0.42%
2015-08-11,619.48,624.85,624.85,617.11,,-1.01%
2015-08-10,625.79,621.24,627.41,621.24,,0.86%
2015-08-07,620.48,620.82,622.01,616.39,,-0.08%
2015-08-06,620.95,628.81,629.43,614.38,,-1.34%
2015-08-05,629.36,636.81,636.81,628.65,,-1.08%
2015-08-04,636.24,633.72,637.95,633.72,,0.32%
2015-08-03,634.22,636.12,637.51,630.6,,-0.25%
2015-07-31,635.81,634.66,638.53,634.11,,0.28%
2015-07-30,634.04,631.7,634.75,628.06,,0.33%
2015-07-29,631.94,625.87,632.72,625.87,,0.99%
2015-07-28,625.73,621.58,626.68,619.69,,0.83%
2015-07-27,620.57,624.69,625.67,619.15,,-0.72%
2015-07-24,625.05,625.23,636.73,624.31,,-0.02%
2015-07-23,625.19,629.26,631.19,624,,-0.59%
2015-07-22,628.91,626.83,630.14,626.49,,0.42%
2015-07-21,626.25,627.88,628.26,624.39,,-0.30%
2015-07-20,628.12,627.77,629.68,627.12,,0.03%
2015-07-17,627.93,629.1,629.17,625.88,,-0.19%
2015-07-16,629.13,625.5,629.33,625.5,,0.65%
2015-07-15,625.07,625.79,626.66,623.73,,-0.12%
2015-07-14,625.85,625.09,626.79,624.51,,0.13%
2015-07-13,625.02,616.13,625.3,616.13,,1.47%
2015-07-10,615.98,608.45,617.25,608.45,,1.44%
2015-07-09,607.21,606.65,613.19,606.65,,0.42%
2015-07-08,604.69,615.67,615.67,604.12,,-1.86%
2015-07-07,616.17,611.39,616.46,604.49,,0.81%
2015-07-06,611.24,612.59,615.13,608.54,,-0.24%
2015-07-02,612.72,613.87,617.21,610.62,,-0.13%
2015-07-01,613.5,608.22,613.6,608.22,,1.04%
2015-06-30,607.21,606.48,610.17,604.51,,0.50%
2015-06-29,604.2,618.23,618.23,603.94,,-2.29%
2015-06-26,618.39,616.45,620.21,616.42,,0.40%
2015-06-25,615.93,615.97,619.41,615.63,,-0.05%
2015-06-24,616.23,620.76,621.57,616.22,,-0.74%
2015-06-23,620.82,618.56,621.14,618.56,,0.38%
2015-06-22,618.5,615.94,620.45,615.94,,0.48%
2015-06-19,615.52,616.84,618.61,615.41,,-0.24%
2015-06-18,617,609.8,618.63,609.8,,1.25%
2015-06-17,609.37,606.69,610.96,605.34,,0.47%
2015-06-16,606.54,603.17,606.92,602.34,,0.55%
2015-06-15,603.22,605.61,605.61,600.17,,-0.46%
2015-06-12,606.02,607.79,607.79,605.07,,-0.42%
2015-06-11,608.58,607.65,610.85,607.65,,0.26%
